0 << value = 0, time = 0.4>>
1 << value = 0, time = 1.6>>
2 << value = 0, time = 3.0>>
3 << value = 1, time = 4.3>>
4 << value = 0, time = 4.1>>
5 << value = 0, time = 6.2>>
6 << value = 0, time = 6.2>>
7 << value = 1, time = 8.3>>
